id,auto_number,auto_brand,compensated,fines
1,Y163O8161RUS,Ford Focus,2,3200
2,E432XX77RUS,Toyota Camry,1,6500
3,7184TT36RUS,Ford Focus,1,2100
4,X582HE161RUS,Ford Focus,2,2000
5,E34877152RUS,Ford Focus,2,6100
6,92918M178RUS,Ford Focus,1,5700
7,E53488152RUS,Ford Focus,2,1800
8,X4128H125RUS,Ford Focus,1,500
9,C593EY154RUS,Ford Focus,1,1000
10,8049HT125RUS,Ford Focus,1,500
11,H234YH197RUS,Ford Focus,2,6000
12,E40577152RUS,Ford Focus,1,500
13,707987163RUS,Ford Focus,2,2200
14,K330T8197RUS,Skoda Octavia,2,8200
15,X786CO96RUS,Ford Focus,1,1000
16,C477M7161RUS,Ford Focus,1,2500
17,O21997197RUS,Ford Focus,1,2000
18,M592CH197RUS,Skoda Octavia,2,7000
19,9020YC197RUS,Skoda Octavia,2,145000
20,8182XX154RUS,Ford Focus,1,200
21,7830C8197RUS,Ford Focus,2,5100
22,9408H7178RUS,Skoda Octavia,1,1000
23,7066C8197RUS,Volkswagen Passat,2,15000
24,M298CH161RUS,Ford Focus,2,1500
25,M0299X197RUS,Ford Focus,2,19200
26,M268CH197RUS,Toyota Camry,2,800
27,E445TC197RUS,Ford Focus,1,3400
28,8440XX154RUS,Ford Focus,1,6200
29,9371CE154RUS,Skoda Octavia,2,500
30,9182CE154RUS,Ford Focus,2,19800
31,8601XX154RUS,Skoda Octavia,1,1300
32,X286TC36RUS,Ford Focus,1,500
33,83298C154RUS,Ford Focus,2,100
34,Y7659C197RUS,Ford Focus,2,1500
35,C922YE197RUS,Volkswagen Golf,2,3800
36,E34877152RUS,Ford Focus,2,6100
37,9935TE152RUS,Ford Focus,2,2500
38,7364C8197RUS,Ford Focus,2,9000
39,M375CH197RUS,Ford Focus,2,18100
40,M5039X197RUS,Volkswagen,2,7400
41,8603T8154RUS,Ford Focus,1,1500
42,83218C154RUS,Ford Focus,1,100
43,9499KX178RUS,Ford Focus,2,2300
44,92928M178RUS,Ford Focus,1,1200
45,H232YH197RUS,Ford Focus,1,8600
46,O672E8197RUS,Skoda Octavia,2,63300
47,E42277152RUS,Ford Focus,2,10600
48,X767HY197RUS,Ford Focus,2,18000
49,C903MC161RUS,Volkswagen Jetta,1,1600
50,T7318T163RUS,Toyota Camry,2,12000
51,Y7719C197RUS,Ford Focus,1,9200
52,T011MY163RUS,Ford Focus,1,2000
53,H115YO163RUS,Ford Focus,1,2200
54,C420X938RUS,Ford Focus,1,3300
55,934497178RUS,Skoda Octavia,2,1900
56,X765HY197RUS,Ford Focus,2,13900
57,73467Y96RUS,Ford Focus,1,800
58,T6488M116RUS,Ford Focus,2,21000
59,O134HE197RUS,Ford Focus,1,22800
60,H968HY161RUS,Ford Focus,1,2400
61,Y654E8750RUS,Skoda Octavia,1,500
62,H963HY161RUS,Ford Focus,2,2800
63,H232YH197RUS,Ford Focus,2,8600
64,7843C8197RUS,Ford Focus,2,12300
65,X791O796RUS,Ford Focus,1,500
66,Y359O8197RUS,Ford Focus,2,2000
67,H958HY161RUS,Ford Focus,1,1800
68,X761HY197RUS,Ford Focus,2,18300
69,708587163RUS,Ford Focus,2,1400
70,Y358O8197RUS,Ford Focus,2,21800
71,Y973O8197RUS,Ford Focus,2,34800
72,9677MO178RUS,Ford Mondeo,2,1100
73,97977H178RUS,Ford Focus,1,1000
74,7066C8197RUS,Volkswagen Passat,2,3000
75,H917TC36RUS,Ford Focus,2,4000
76,7361C8197RUS,Ford Focus,1,800
77,92928M178RUS,Ford Focus,2,1200
78,X786CO96RUS,Ford Focus,1,1000
79,Y357O8197RUS,Ford Focus,1,2200
80,Y7709C197RUS,Ford Focus,1,500
81,E42377152RUS,Ford Focus,1,3000
82,8513XX154RUS,Ford Focus,1,1500
83,T6418M116RUS,Ford Focus,2,24600
84,T870X7163RUS,Skoda Octavia,2,2000
85,8818C877RUS,Volkswagen Passat,1,2500
86,T395OT197RUS,Volkswagen Touareg,2,4800
87,K327T8197RUS,Volkswagen Golf,2,20800
88,8311XX154RUS,Ford Focus,2,8600
89,X423MK197RUS,Ford Focus,2,14300
90,96429X178RUS,Ford Focus,1,2600
91,O275O7161RUS,Ford Focus,2,16600
92,7789KT197RUS,Ford Focus,2,12600
93,7248C8197RUS,Ford Mondeo,1,8600
94,O83697197RUS,Ford Focus,2,6100
95,E28877161RUS,Ford Focus,1,1000
96,T6068M116RUS,Ford Focus,1,1000
97,9498KX178RUS,Ford Focus,2,1600
98,9499KX178RUS,Ford Focus,2,2300
99,99209X178RUS,Skoda Octavia,1,500
100,T6449O50RUS,Ford Focus,2,12500
101,9683EC178RUS,Ford Focus,2,26000
102,Y353O8197RUS,Ford Focus,2,21800
103,O719MM163RUS,Ford Focus,2,2300
104,7784KT197RUS,Ford Focus,2,6600
105,E535MM199RUS,Volkswagen Touareg,1,500
106,H967HY161RUS,Ford Focus,1,4500
107,Y352O8197RUS,Ford Focus,2,103600
108,7788KT197RUS,Ford Focus,2,12000
109,Y351O8197RUS,Ford Focus,2,1500
110,T479KX197RUS,Ford Focus,2,12000
111,92788M178RUS,Ford Focus,1,300
112,E807HE77RUS,Ford Focus,2,4500
113,7197TT36RUS,Ford Focus,1,6800
114,M516CH161RUS,Ford Focus,1,1000
115,89587X197RUS,Toyota Camry,1,4400
116,7781KT197RUS,Ford Focus,2,600
117,E645TH36RUS,Ford Focus,1,2400
118,89587X197RUS,Toyota Camry,2,4400
119,Y302E877RUS,Ford Focus,1,500
